english,italian

### ICE ###
I want ice,io voglio il ghiaccio
you (familiar) want ice,tu vuoi il ghiaccio
you (polite) want ice,Lei vuole il ghiaccio
she wants ice,lei vuole il ghiaccio
he wants ice,lui vuole il ghiaccio
we want ice,noi vogliamo il ghiaccio
you all want ice,voi volete il ghiaccio
they want ice,loro vogliono il ghiaccio

### Drink ###
I want a drink,io voglio una bevanda
you (familiar) want a drink,tu vuoi una bevanda
you (polite) want a drink,Lei vuole una bevanda
she wants a drink,lei vuole una bevanda
he wants a drink,lui vuole una bevanda
we want a drink,noi vogliamo una bevanda
you all want a drink,voi volete una bevanda
they want a drink,loro vogliono una bevanda

### Water ###
I want water,io voglio dell'acqua
you (familiar) want water,tu vuoi dell'acqua
you (polite) want water,Lei vuole dell'acqua
she wants water,lei vuole dell'acqua
he wants water,lui vuole dell'acqua
we want water,noi vogliamo dell'acqua
you all want water,voi volete dell'acqua
they want water,loro vogliono dell'acqua

### Coffee ###
I want coffee,io voglio un caffè
you (familiar) want coffee,tu vuoi un caffè
you (polite) want coffee,Lei vuole un caffè
she wants coffee,lei vuole un caffè
he wants coffee,lui vuole un caffè
we want coffee,noi vogliamo un caffè
you all want coffee,voi volete un caffè
they want coffee,loro vogliono un caffè

### Tea ###
I want tea,io voglio un tè
you (familiar) want tea,tu vuoi un tè
you (polite) want tea,Lei vuole un tè
she wants tea,lei vuole un tè
he wants tea,lui vuole un tè
we want tea,noi vogliamo un tè
you all want tea,voi volete un tè
they want tea,loro vogliono un tè

### Juice ###
I want juice,io voglio del succo
you (familiar) want juice,tu vuoi del succo
you (polite) want juice,Lei vuole del succo
she wants juice,lei vuole del succo
he wants juice,lui vuole del succo
we want juice,noi vogliamo del succo
you all want juice,voi volete del succo
they want juice,loro vogliono del succo

### Milk ###
I want milk,io voglio del latte
you (familiar) want milk,tu vuoi del latte
you (polite) want milk,Lei vuole del latte
she wants milk,lei vuole del latte
he wants milk,lui vuole del latte
we want milk,noi vogliamo del latte
you all want milk,voi volete del latte
they want milk,loro vogliono del latte

### Soda ###
I want soda,io voglio della soda
you (familiar) want soda,tu vuoi della soda
you (polite) want soda,Lei vuole della soda
she wants soda,lei vuole della soda
he wants soda,lui vuole della soda
we want soda,noi vogliamo della soda
you all want soda,voi volete della soda
they want soda,loro vogliono della soda

### Beer ###
I want beer,io voglio della birra
you (familiar) want beer,tu vuoi della birra
you (polite) want beer,Lei vuole della birra
she wants beer,lei vuole della birra
he wants beer,lui vuole della birra
we want beer,noi vogliamo della birra
you all want beer,voi volete della birra
they want beer,loro vogliono della birra

### Red Wine ###
I want red wine,io voglio del vino rosso
you (familiar) want red wine,tu vuoi del vino rosso
you (polite) want red wine,Lei vuole del vino rosso
she wants red wine,lei vuole del vino rosso
he wants red wine,lui vuole del vino rosso
we want red wine,noi vogliamo del vino rosso
you all want red wine,voi volete del vino rosso
they want red wine,loro vogliono del vino rosso

### White Wine ###
I want white wine,io voglio del vino bianco
you (familiar) want white wine,tu vuoi del vino bianco
you (polite) want white wine,Lei vuole del vino bianco
she wants white wine,lei vuole del vino bianco
he wants white wine,lui vuole del vino bianco
we want white wine,noi vogliamo del vino bianco
you all want white wine,voi volete del vino bianco
they want white wine,loro vogliono del vino bianco